HIP_CENTER,,,SPINE,,,SHOULDER_CENTER,,,HEAD,,,SHOULDER_LEFT,,,ELBOW_LEFT,,,WRIST_LEFT,,,HAND_LEFT,,,SHOULDER_RIGHT,,,ELBOW_RIGHT,,,WRIST_RIGHT,,,HAND_RIGHT,,,HIP_LEFT,,,KNEE_LEFT,,,ANKLE_LEFT,,,FOOT_LEFT,,,HIP_RIGHT,,,KNEE_RIGHT,,,ANKLE_RIGHT,,,FOOT_RIGHT,,,NECK CoM,,,TORSO_CoM,,,RIGHT_UPPER_ARM_CoM,,,RIGHT_LOWER_ARM_CoM,,,LEFT_UPPER_ARM_CoM,,,LEFT_LOWER_ARM_CoM,,,RIGHT_UPPER_LEG_CoM,,,RIGHT_LOWER_LEG_CoM,,,LEFT_UPPER_LEG_CoM,,,LEFT_LOWER_LEG_CoM,,,
x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,Neck,Torso,Right_Upper_Arm,Right_Lower_Arm,Left_Upper_Arm,Left_Lower_Arm,Right_Upper_Leg,Right_Lower_Leg,Left_Upper_Leg,Left_Lower_Leg,Energy Expended This Frame,Total Energy Expended,
-0.00864734,0.047726,1.87829,-0.0217165,0.118355,1.87213,-0.0870622,0.471498,1.85811,-0.160827,0.618728,1.82697,-0.230417,0.323388,1.97124,-0.258473,0.100721,2.07234,-0.331645,-0.112449,2.13968,-0.380908,-0.186803,2.13732,0.0774815,0.368798,1.807,0.264579,0.129901,1.81255,0.323842,-0.101344,1.81832,0.332012,-0.166773,1.81711,-0.0638712,-0.038438,1.91206,-0.0550883,-0.45947,2.02331,-0.0411849,-0.786824,2.10225,-0.0699766,-0.859028,2.0748,0.074683,-0.0180033,1.84685,0.1484,-0.384349,1.79953,0.179261,-0.707077,1.70563,0.140645,-0.754598,1.63042,-0.13386,0.588722,1.98994,-0.0443853,0.24079,1.73276,0.160768,0.234389,1.70119,0.247254,0.0119998,1.52569,-0.229778,0.199331,1.90049,-0.247967,-0.004928,1.76989,0.0949975,-0.171338,1.55277,0.135651,-0.45185,1.45114,-0.0506577,-0.212029,1.67584,-0.0398571,-0.515966,1.70798,6.83753e-007,1.45218e-006,1.24036e-007,8.50693e-008,3.00095e-008,3.10316e-009,1.54747e-007,5.29929e-007,2.33847e-008,8.01793e-010,3.08701e-006,3.08701e-006,
-0.00956437,0.0494763,1.88577,-0.0231337,0.12044,1.88054,-0.0931333,0.475535,1.87,-0.169791,0.623738,1.84142,-0.234375,0.321483,1.97736,-0.261209,0.102155,2.07687,-0.332975,-0.113176,2.13943,-0.383213,-0.186817,2.13709,0.0724273,0.372424,1.81775,0.259899,0.129402,1.82525,0.315657,-0.102403,1.8339,0.326164,-0.167415,1.83187,-0.0641975,-0.0375846,1.91689,-0.0552236,-0.458268,2.0245,-0.0412504,-0.786869,2.10244,-0.0700431,-0.858902,2.07468,0.0742191,-0.0142457,1.85662,0.149824,-0.38861,1.80614,0.177641,-0.667589,1.72968,0.139826,-0.714834,1.65396,-0.141979,0.593607,2.00417,-0.047626,0.243474,1.74174,0.156193,0.235859,1.71221,0.241848,0.0113452,1.53757,-0.232925,0.19911,1.90549,-0.249676,-0.00463086,1.77169,0.0954067,-0.171552,1.55975,0.135571,-0.437266,1.46383,-0.0508543,-0.211154,1.6784,-0.0399402,-0.515487,1.70855,1.43185e-006,4.79696e-006,2.51661e-007,1.00212e-007,2.60107e-008,2.86115e-009,5.24681e-007,7.79983e-007,1.00973e-007,2.66328e-010,8.01546e-006,1.11025e-005,
-0.00998738,0.051538,1.90034,-0.0243096,0.123302,1.8967,-0.0999767,0.483215,1.89235,-0.179895,0.627487,1.86006,-0.237598,0.321482,1.98323,-0.26435,0.103765,2.0807,-0.334214,-0.113433,2.13899,-0.384481,-0.186893,2.13663,0.0647083,0.378468,1.838,0.255691,0.12831,1.83906,0.307144,-0.104635,1.85117,0.317823,-0.169411,1.85379,-0.0638967,-0.0361293,1.92914,-0.0553614,-0.45777,2.02536,-0.0412736,-0.786893,2.1025,-0.0700337,-0.858877,2.07464,0.0742824,-0.0108465,1.87115,0.15109,-0.397191,1.82134,0.176953,-0.656671,1.77109,0.138594,-0.719578,1.73659,-0.151131,0.599779,2.0263,-0.0509959,0.247992,1.75886,0.150588,0.238185,1.72822,0.236503,0.00994809,1.55064,-0.235916,0.199866,1.91005,-0.251517,-0.00406248,1.77312,0.0959725,-0.173759,1.57241,0.13581,-0.436299,1.48727,-0.0507848,-0.210322,1.68398,-0.0400069,-0.515291,1.70893,2.56772e-006,8.10433e-006,5.42899e-007,1.44632e-007,1.33097e-007,8.14187e-009,9.98641e-007,9.36078e-007,2.23883e-007,3.49895e-009,1.36629e-005,2.47654e-005,
-0.0105345,0.0536451,1.92081,-0.0258425,0.126349,1.9192,-0.108563,0.491072,1.92055,-0.192941,0.63168,1.88797,-0.245079,0.323968,1.99962,-0.26951,0.105906,2.08714,-0.337316,-0.114198,2.13729,-0.386552,-0.187657,2.13538,0.054824,0.387798,1.86885,0.249228,0.127823,1.85841,0.298793,-0.106024,1.86953,0.311713,-0.170197,1.87051,-0.0634932,-0.0344856,1.94548,-0.0563333,-0.455883,2.02844,-0.0413185,-0.786915,2.10257,-0.0699892,-0.858849,2.07459,0.0744776,-0.0067708,1.89399,0.151719,-0.40158,1.84019,0.179177,-0.66159,1.81354,0.132981,-0.728389,1.81079,-0.162812,0.606286,2.0566,-0.0552317,0.252612,1.78143,0.142904,0.242342,1.75181,0.230278,0.00916004,1.56648,-0.241857,0.202041,1.92078,-0.254988,-0.00348442,1.77511,0.0963235,-0.173892,1.59016,0.136991,-0.440152,1.51265,-0.0510269,-0.208819,1.69225,-0.0404278,-0.514518,1.71024,2.14096e-006,7.19801e-006,5.40297e-007,1.4558e-007,4.79509e-007,1.93936e-008,1.40681e-006,1.31047e-006,5.66322e-007,1.00123e-008,1.38174e-005,3.85828e-005,
-0.0111066,0.0571652,1.94682,-0.0268546,0.130125,1.94489,-0.111985,0.495333,1.94134,-0.204034,0.63704,1.92041,-0.260464,0.32528,2.03379,-0.277188,0.106042,2.09765,-0.341989,-0.11714,2.13454,-0.390345,-0.191137,2.13086,0.0478329,0.394098,1.89747,0.242297,0.127572,1.88098,0.292657,-0.106726,1.88549,0.305098,-0.170758,1.88751,-0.0640436,-0.0322858,1.97115,-0.0581156,-0.45287,2.03364,-0.0414268,-0.786934,2.10272,-0.0699517,-0.858768,2.07451,0.0752139,-0.0023417,1.91973,0.152094,-0.405405,1.86393,0.183458,-0.680385,1.85953,0.131402,-0.747813,1.87933,-0.17065,0.611482,2.08535,-0.0570836,0.256221,1.80314,0.136361,0.245185,1.77587,0.224788,0.00875935,1.58267,-0.252696,0.202721,1.94178,-0.260178,-0.00466315,1.77836,0.0967968,-0.173635,1.61123,0.138919,-0.449517,1.54151,-0.0520203,-0.206599,1.7054,-0.0412105,-0.513279,1.71245,1.31085e-006,6.60641e-006,5.23544e-007,1.26253e-007,2.22795e-007,2.13014e-008,1.26359e-006,1.59876e-006,4.58802e-007,1.46058e-008,1.21469e-005,5.07297e-005,
-0.0131092,0.061078,1.96929,-0.0289691,0.134081,1.96799,-0.114671,0.498597,1.96367,-0.209263,0.64053,1.94065,-0.268159,0.324458,2.05286,-0.285204,0.104844,2.10899,-0.346062,-0.120991,2.1316,-0.393623,-0.195793,2.1255,0.0437816,0.400305,1.92471,0.23611,0.12936,1.90467,0.288022,-0.10585,1.89802,0.300474,-0.169878,1.89911,-0.0661296,-0.030668,1.99208,-0.0596291,-0.450736,2.04049,-0.0416869,-0.787011,2.10313,-0.0698598,-0.858655,2.07435,0.0742691,0.0028713,1.94292,0.152291,-0.408816,1.88759,0.191563,-0.70682,1.91084,0.140315,-0.775877,1.94065,-0.174924,0.615129,2.10834,-0.0592579,0.259549,1.82391,0.131549,0.248943,1.79981,0.22024,0.00987901,1.59789,-0.260081,0.201772,1.95607,-0.265258,-0.0067848,1.7819,0.0964783,-0.172868,1.63118,0.142356,-0.461873,1.57255,-0.0535531,-0.205001,1.71723,-0.0419448,-0.512427,1.71546,1.78972e-006,6.1233e-006,3.47546e-007,8.90588e-008,1.63114e-007,1.26089e-008,1.29463e-006,2.04059e-006,2.92629e-007,1.87451e-008,1.21719e-005,6.29016e-005,
-0.0145642,0.0632002,1.98715,-0.0303447,0.136298,1.98811,-0.116474,0.500541,1.98942,-0.213917,0.642511,1.96555,-0.27378,0.324668,2.06971,-0.290568,0.103807,2.11932,-0.348994,-0.123967,2.12892,-0.395618,-0.199842,2.11925,0.0420618,0.403349,1.94543,0.231597,0.130833,1.92606,0.285066,-0.104886,1.90746,0.297514,-0.169032,1.90711,-0.0678095,-0.0297127,2.00713,-0.0609253,-0.449586,2.04771,-0.0422325,-0.787325,2.10446,-0.0692862,-0.858574,2.07412,0.0737404,0.00546289,1.9619,0.151796,-0.413442,1.91603,0.193851,-0.736758,1.96725,0.151929,-0.809618,2.0021,-0.178411,0.617248,2.13569,-0.060769,0.261435,1.84413,0.128619,0.251065,1.8196,0.217102,0.0109026,1.61085,-0.265244,0.201383,1.96885,-0.268744,-0.00847124,1.78511,0.0960426,-0.173734,1.65138,0.143098,-0.476183,1.60768,-0.0548204,-0.204105,1.72671,-0.0427073,-0.512081,1.719,1.39808e-006,4.3957e-006,3.12473e-007,5.40017e-008,1.4467e-007,1.76482e-008,1.2681e-006,2.44181e-006,3.20538e-007,3.22242e-008,1.03852e-005,7.32869e-005,
-0.0150598,0.06329,2.00276,-0.0306647,0.136314,2.00634,-0.117845,0.50044,2.01097,-0.214406,0.64487,1.98917,-0.2771,0.321721,2.0841,-0.293689,0.0993505,2.13076,-0.352527,-0.128971,2.12566,-0.396437,-0.207085,2.10886,0.0425334,0.405308,1.96896,0.228635,0.13202,1.94294,0.283029,-0.103826,1.91475,0.295314,-0.168191,1.91283,-0.0686262,-0.0312267,2.0216,-0.0620113,-0.449486,2.05674,-0.0430878,-0.787838,2.10677,-0.0691959,-0.858525,2.07411,0.0741348,0.00633325,1.97711,0.152837,-0.421195,1.94727,0.187998,-0.766788,2.02875,0.154252,-0.816269,1.97081,-0.179415,0.618467,2.16007,-0.0616344,0.26143,1.86137,0.127449,0.252544,1.83859,0.215001,0.0118471,1.621,-0.268271,0.197903,1.98098,-0.27154,-0.0124467,1.78855,0.0966539,-0.176665,1.67116,0.141106,-0.491825,1.64607,-0.0556307,-0.204707,1.73672,-0.043511,-0.512252,1.72369,1.21288e-006,4.14689e-006,1.9853e-007,3.51382e-008,6.07137e-008,4.34595e-009,1.94779e-006,3.31504e-006,3.51473e-007,4.53736e-008,1.13182e-005,8.4605e-005,
-0.0160565,0.0625346,2.0171,-0.0313275,0.135565,2.02399,-0.119268,0.501046,2.03269,-0.211271,0.649612,2.00923,-0.278054,0.320991,2.09537,-0.29514,0.0974037,2.13702,-0.354043,-0.131508,2.12393,-0.393721,-0.21153,2.10037,0.0441078,0.406136,1.98726,0.226797,0.132797,1.95697,0.281587,-0.102878,1.92037,0.293412,-0.167453,1.91693,-0.069953,-0.0325746,2.03512,-0.0636882,-0.450346,2.06768,-0.0439589,-0.788262,2.1092,-0.0690217,-0.858485,2.07415,0.0737186,0.00594949,1.99008,0.153595,-0.438694,1.98971,0.175983,-0.796448,2.09258,0.154387,-0.835851,2.01937,-0.178491,0.621356,2.18264,-0.0627566,0.261361,1.87809,0.127325,0.253299,1.85379,0.213623,0.0125722,1.62926,-0.269401,0.196646,1.98922,-0.272787,-0.0143305,1.79045,0.0967993,-0.18428,1.69476,0.136445,-0.511349,1.69007,-0.0569098,-0.205647,1.74713,-0.0445659,-0.512784,1.72923,8.35749e-007,2.89084e-006,1.39348e-007,2.3461e-008,4.27873e-008,3.81547e-009,1.88053e-006,2.73804e-006,3.28913e-007,4.65361e-008,8.93002e-006,9.35351e-005,
-0.0175485,0.0618903,2.03128,-0.0319528,0.135104,2.04058,-0.11848,0.501898,2.04866,-0.20545,0.653372,2.02731,-0.277522,0.320222,2.10506,-0.295302,0.095378,2.14209,-0.353311,-0.134575,2.123,-0.385201,-0.21587,2.09198,0.0471208,0.406056,2.00259,0.226101,0.133053,1.96865,0.28054,-0.102168,1.92489,0.291922,-0.166891,1.91986,-0.0720501,-0.0328821,2.04765,-0.0655019,-0.452419,2.07862,-0.0445981,-0.788647,2.11165,-0.0687293,-0.858435,2.07424,0.0719474,0.0040483,2.00602,0.155115,-0.456764,2.02739,0.161741,-0.821712,2.15098,0.142689,-0.856984,2.05047,-0.174922,0.623846,2.20102,-0.0630834,0.261457,1.89208,0.128414,0.253381,1.86648,0.212891,0.0129779,1.63607,-0.269227,0.195332,1.99616,-0.272547,-0.0164706,1.79219,0.0966923,-0.192784,1.71759,0.131178,-0.529289,1.72984,-0.0585752,-0.206661,1.75713,-0.0455814,-0.513801,1.73477,1.03907e-006,3.18427e-006,1.33392e-007,2.28533e-008,2.28437e-007,8.44684e-009,1.38404e-006,1.35485e-006,4.01359e-007,3.12367e-008,7.78795e-006,0.000101323,
