Hip Center, Spine, Shoulder Center, Head, Shoulder Left, Elbow Left, Wrist Left, Hand Left, Hip Left, Knee Left, Ankle Right, Foot Left, Hip Right, Knee Right, Ankle Right, Foot Right   
"0.247879,0.317643,2.2079","0.24766,0.322022,2.24678","0.223731,0.445497,2.27484","0.205474,0.620609,2.24783","0.0940363,0.393036,2.25098","-0.0324139,0.385233,2.23744","-0.0866569,0.411095,2.06752","-0.123267,0.468423,1.84624","0.335874,0.350533,2.19559","0.416064,0.286879,2.03979","0.479545,0.252596,1.87492","0.496243,0.279547,1.68291","0.202332,0.280258,2.18361","0.463236,0.39198,2.1069","0.41481,0.258167,1.82466","0.404645,0.280035,1.75311","0.311159,0.261131,2.17622","0.516727,0.287081,1.9616","0.610059,0.198306,1.76296","0.535449,0.180847,1.72212",
"0.23119,0.385905,2.26587","0.235743,0.381965,2.29601","0.222122,0.444211,2.28401","0.199717,0.617399,2.27026","0.0867604,0.391123,2.2615","-0.0237912,0.398198,2.20308","-0.07949,0.423376,2.03764","-0.125782,0.471186,1.84939","0.333535,0.349104,2.19955","0.407272,0.303619,2.04454","0.468999,0.28318,1.88255","0.507201,0.287301,1.69025","0.184317,0.349623,2.23631","0.446156,0.374707,2.1068","0.39488,0.236395,1.81457","0.381022,0.249124,1.74092","0.295776,0.329996,2.22967","0.48449,0.266247,2.00461","0.617232,0.158161,1.83861","0.541645,0.152623,1.79516",
"0.22352,0.407574,2.29847","0.227008,0.396134,2.32178","0.214731,0.436328,2.30456","0.192209,0.608238,2.30008","0.0755444,0.389197,2.29127","-0.0252054,0.407681,2.20668","-0.0784088,0.428163,2.03794","-0.141592,0.482239,1.86366","0.3117,0.343421,2.22583","0.390132,0.322518,2.07511","0.453137,0.316189,1.91577","0.485493,0.314464,1.83082","0.180884,0.375909,2.26425","0.436716,0.365439,2.10367","0.334878,0.22111,1.81364","0.326116,0.215882,1.73196","0.290945,0.352631,2.2687","0.467445,0.260119,2.02531","0.617239,0.140854,1.87966","0.542175,0.143292,1.83299",
"0.220698,0.407841,2.31836","0.224588,0.393539,2.34121","0.211184,0.427283,2.33396","0.182104,0.590981,2.3386","0.0762676,0.380213,2.32201","-0.0120015,0.410949,2.1991","-0.0760723,0.430923,2.03643","-0.149681,0.486849,1.87462","0.299905,0.33936,2.24343","0.376743,0.333351,2.09501","0.448157,0.33865,1.96076","0.483525,0.33016,1.90199","0.18031,0.379434,2.28256","0.468428,0.308659,2.03951","0.275384,0.194097,1.79323","0.279968,0.183774,1.70698","0.286779,0.359554,2.28701","0.543149,0.357786,2.05987","0.707684,0.232309,1.92413","0.632258,0.219641,1.87732",
"0.203508,0.299453,2.29922","0.210755,0.306657,2.33695","0.21124,0.412337,2.3672","0.176483,0.572645,2.36113","0.0780011,0.371516,2.34107","0.000673777,0.408629,2.20135","-0.070176,0.431361,2.04848","-0.158534,0.490091,1.88859","0.271813,0.318425,2.27761","0.365645,0.329986,2.12436","0.440693,0.341322,2.00633","0.53811,0.341402,1.84029","0.161555,0.275166,2.28531","0.46552,0.23006,2.0196","0.203891,0.174217,1.80975","0.228802,0.163877,1.72579","0.245505,0.251424,2.2561","0.534425,0.352964,2.06591","0.702668,0.22355,1.93425","0.636976,0.225907,1.88989",
"0.186246,0.284651,2.33097","0.196161,0.282108,2.36298","0.207303,0.391626,2.39538","0.176858,0.534126,2.3904","0.0780438,0.355377,2.36248","-0.0120841,0.362679,2.31259","-0.0702472,0.396946,2.16549","-0.0997077,0.428071,2.1244","0.252617,0.296469,2.30591","0.355954,0.318808,2.15179","0.437595,0.338136,2.04314","0.492243,0.340524,1.96127","0.142284,0.261556,2.31821","0.453716,0.198381,2.02426","0.149183,0.172968,1.85056","0.186542,0.161056,1.77109","0.220196,0.242689,2.29007","0.496366,0.35795,2.10176","0.661043,0.232732,1.97377","0.6029,0.23849,1.92028",
"0.168476,0.279793,2.37363","0.179266,0.272787,2.40455","0.213902,0.364566,2.42606","0.171483,0.494154,2.41644","0.119307,0.341279,2.39938","0.0178703,0.339202,2.40276","-0.04121,0.376467,2.26179","-0.0501004,0.407778,2.23732","0.257004,0.274203,2.34579","0.359526,0.296405,2.19585","0.436876,0.327072,2.0821","0.452764,0.306482,2.04326","0.119876,0.26966,2.36321","0.429721,0.261837,2.11462","0.227393,0.218629,1.92921","0.235239,0.198071,1.84882","0.18072,0.244189,2.34349","0.466003,0.342489,2.1219","0.612649,0.223331,2.00077","0.563473,0.235045,1.94239",
"0.191548,0.174793,2.14196","0.193226,0.179432,2.21752","0.236307,0.346932,2.47831","0.166229,0.470384,2.42931","0.16039,0.333053,2.45217","0.0539838,0.326527,2.48669","-0.00455488,0.365379,2.34835","-0.0117115,0.380876,2.33537","0.276871,0.26264,2.39526","0.382198,0.275308,2.26323","0.444844,0.314398,2.1326","0.451529,0.307357,2.10737","0.155849,0.174253,2.1125","0.477757,0.199035,2.0556","0.257138,0.186936,1.86439","0.262513,0.176301,1.78833","0.21352,0.144652,2.11015","0.418834,0.194799,1.835","0.555535,0.0872168,1.70873","0.490873,0.111195,1.67961",
"0.226225,0.295165,2.41011","0.273778,0.311505,2.37238","0.450015,0.312299,2.13552","0.329555,0.419402,2.22811","0.359162,0.298535,2.15244","0.25466,0.295319,2.16456","0.132479,0.34415,2.09209","0.136743,0.36329,2.05047","0.485663,0.229669,2.09258","0.583802,0.231408,1.96099","0.533604,0.333359,1.99236","0.51086,0.363527,2.01608","0.172991,0.314369,2.47372","0.487169,0.293031,2.2423","0.273851,0.24439,2.07505","0.277367,0.228235,1.99615","0.230337,0.281942,2.4167","0.416654,0.310867,2.16075","0.553266,0.20417,2.031","0.513638,0.196753,1.95809",
"0.413912,0.316526,2.19529","0.436274,0.342462,2.18414","0.486036,0.299673,2.11954","0.354709,0.392459,2.20968","0.422424,0.289823,2.09867","0.311012,0.284289,2.13698","0.169952,0.336352,2.10819","0.178308,0.35136,2.08326","0.537355,0.21897,2.04331","0.634896,0.218852,1.91725","0.555408,0.335149,1.99054","0.544427,0.388268,1.97297","0.286676,0.333154,2.29877","0.58836,0.326022,2.25534","0.444267,0.267142,2.01301","0.404117,0.218823,1.99151","0.3329,0.30093,2.41415","0.51419,0.388888,2.23418","0.648945,0.285339,2.1067","0.605524,0.268126,2.03945",
